return_id;receipt_no;store_code;sku;qty;reason;return_date
RT-000296;R-0031786;ST-004;SKU-00229;3;Noto'g'ri tovar berilgan;23.01.2026
RT-000297;R-0038033;ST-001;SKU-00065;1;Muddati o'tgan;30.01.2026
RT-000298;R-0035375;ST-004;SKU-00385;2;Xaridor fikri o'zgardi;17.01.2026
RT-000299;R-0052182;ST-006;SKU-00142;1;Xaridor fikri o'zgardi;21.03.2026
RT-000300;R-0031000;ST-012;SKU-00499;1;Sifatsiz mahsulot;28.12.2025
RT-000301;R-0043983;ST-004;SKU-00122;2;Noto'g'ri tovar berilgan;17.02.2026
RT-000302;R-0039539;ST-010;SKU-00137;2;Qadoq shikastlangan;17.02.2026
RT-000303;R-0031015;ST-001;SKU-00109;1;Kafolat holati;20.01.2026
RT-000304;R-0040802;ST-004;SKU-00349;1;;02.02.2026
RT-000305;R-0042631;ST-001;SKU-00437;2;Sifatsiz mahsulot;14.02.2026
RT-000306;R-0038569;ST-007;SKU-00323;1;Kafolat holati;13.02.2026
RT-000307;R-0047721;ST-011;SKU-00118;4;Qadoq shikastlangan;05.03.2026
RT-000308;R-0042331;ST-003;SKU-00375;2;Kafolat holati;07.02.2026
RT-000309;R-0030299;ST-001;SKU-00273;1;Xaridor fikri o'zgardi;12.01.2026
